[description:"Ratio Distribution" end:"1730839172" entry:"1730381146" modified:"1730839172" project:"FAKE" status:"completed" uuid:"eff97d26-6035-4375-aaf4-f2d6c10c3c6e"]
[description:"Problem-sets" end:"1730839160" entry:"1728289375" modified:"1730839160" project:"ENV" status:"completed" uuid:"49229d0a-f324-4c9a-a204-2a890eff5443"]
[description:"Understand Kalman filters" end:"1730309556" entry:"1729934628" modified:"1730309556" project:"FAKE" status:"completed" uuid:"19f6041d-5284-4bad-af8c-dc9de6f14440"]
[description:"Prep" end:"1729934678" entry:"1728288669" modified:"1729934678" project:"ENV" status:"completed" uuid:"7733cf88-67f4-4dce-bff5-c2793d2a7cc0"]
[description:"Slides" end:"1729934663" entry:"1728288684" modified:"1729934663" project:"ENV" status:"completed" uuid:"8390c7dc-cb4b-4416-a3d4-c1b7f8478f27"]
[description:"Brown-Bag" end:"1729706354" entry:"1728288863" modified:"1729706354" status:"completed" uuid:"18eb40a8-6d7f-46ef-a509-3dfc325ffea7"]
[description:"Final-read" end:"1729706342" entry:"1728288747" modified:"1729706342" project:"AUC" status:"completed" uuid:"3611c5d1-3bad-4de2-bbf1-f65496a6738e"]
[description:"Prep" end:"1729706334" entry:"1728288645" modified:"1729706334" project:"ORG" status:"completed" uuid:"d86aa482-82a4-45db-99ff-21a3963ade32"]
